,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
156,0.0,-0.339213,2664,3541,497,1217,2324,0.118592,0.09225871132973174,0.0008031388995198959,0.0009197463453025357,-0.001708,0.0005459124617850859
157,4.0,-0.34042,224,2880,1158,1015,1865,0.118395,0.09174290324573378,0.0008081515307023267,0.0008387938696429354,-0.001908,0.0005440720309853831
158,5.0,-0.381985,3211,3471,567,1411,2060,0.117941,0.09113605496346085,0.00045986764784425066,0.0017274789556346495,-0.00204,0.000535726618754633
159,4.0,0.494818,3631,754,3284,332,422,0.117939,0.09109028406444199,0.0004611286348986065,0.0017274789556346495,-0.00203,0.0005369678418296515
160,3.0,0.632003,301,3721,317,2045,1676,0.118355,0.09155682140500872,0.00020199713344416355,0.001544244136779238,-0.002082,0.0005343856185070469
161,5.0,0.662249,2093,3979,59,2270,1709,0.118545,0.09170419293215859,8.924079616434298e-05,0.001637275300330179,-0.001962,0.0005059163191755292
162,1.0,-0.427224,1158,3734,304,1530,2204,0.118343,0.09158918462721932,0.00015471078457646577,0.0015134873076778224,-0.001837,0.0005031042122183615
163,2.0,0.378125,575,2711,1327,979,1732,0.118541,0.09168078967032714,0.0001507744393786548,0.0009937827595256784,-0.001683,0.0005016719352521157
164,1.0,0.319577,3875,7,4031,1,6,0.118541,0.09168217776781085,0.0001507744393786548,0.0009937827595256784,-0.001684,0.00048793428802684785
165,4.0,0.568965,1355,2969,1069,1451,1518,0.118874,0.09202366362595674,0.0008772015214824916,0.0006309371517895104,-0.001494,0.000504250802015459
166,4.0,0.378192,3354,987,3051,388,599,0.118976,0.09223883567057466,0.0009067272458258442,0.0006309371517895104,-0.00139,0.0005377886579203859
167,5.0,0.007846,2093,79,3959,3,76,0.118976,0.0922389897368463,0.0009067272458258442,0.0006309371517895104,-0.001389,0.0005377744378163996
168,4.0,-0.39512,2757,2905,1133,1116,1789,0.1187,0.09203893294608174,0.0005659260897462128,0.00017498664775924758,-0.001586,0.0005130265546770088
169,5.0,0.386743,2093,734,3304,299,435,0.118748,0.09208497443142512,0.0006160347565721183,0.00017498664775924758,-0.001575,0.0004798176168211038
170,1.0,-0.63831,3793,3759,279,1988,1771,0.118654,0.09196298968602964,0.0006796794178072178,0.0004429131482326531,-0.001471,0.00044713534398129205
171,0.0,0.664216,3629,3511,527,1921,1590,0.118969,0.09224542486496036,0.0011175699031492773,0.0006674128975677454,-0.001678,0.00039787872930769296
172,2.0,-0.51846,3984,3239,799,1517,1722,0.118877,0.0922757870561,0.0007959613348066924,0.0007532487908889662,-0.001713,0.00042399036585139184
173,1.0,-0.481307,3764,3886,152,1728,2158,0.118626,0.09242825388268477,0.0006197642074252619,0.0006870559881271153,-0.001459,0.00042588628409677523
174,1.0,-0.893196,1425,3713,325,2342,1371,0.118505,0.09231991504331735,0.0008509802083672327,0.0006386621485047087,-0.001165,0.0003608148802839503
175,3.0,-0.555004,1355,3186,852,1628,1558,0.11815,0.09222087059742307,0.0007843387453324416,0.000602304426467558,-0.001139,0.00034597877773831574
